Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
300055,Gautam,Shetty,M,10/10/1991,780,8/30/2023,Zara,Fashion
300056,Snehal,Bhatt,F,4/5/1995,990,4/9/2023,Nykaa,Cosmetic
300057,Aditya,Kapoor,M,11/14/1993,2700,6/7/2023,Airbnb,Travel
300058,Revathi,Rao,F,1/9/1999,540.2,5/12/2023,HM,Fashion
300059,Sunil,Krishnan,M,7/31/1992,320,9/16/2023,Swiggy,Food
300060,Shreya,Patel,F,3/18/1996,1580.6,7/25/2023,Decathlon,Sports
300061,Ravi,Chopra,M,2/2/1994,199.99,4/4/2023,BigBazaar,Groceries
300062,Aishwarya,Das,F,10/30/1998,2499,2/18/2023,MakeMyTrip,Travel
300063,Jayant,Bajaj,M,8/7/1995,470.7,3/30/2023,KFC,Food
300064,Nisha,Sharma,F,12/19/1997,1890,8/11/2023,Apple Store,Electronics
300065,Mahesh,Naidu,M,11/3/1993,280.5,6/22/2023,Dominos,Restaurant
300066,Shalini,Pai,F,5/28/1998,1320.4,5/2/2023,Amazon,Fashion
300067,Anup,Verma,M,9/7/1991,870,7/8/2023,Zara,Fashion
300068,Rupa,Rao,F,11/16/1996,2400,9/19/2023,Tanishq,Jewellery
300069,Vinay,Krishna,M,10/27/1994,650.9,6/26/2023,HM,Fashion
300070,Sudha,Reddy,F,8/14/1997,310,3/6/2023,Swiggy,Food
300071,Mohan,Joshi,M,12/29/1992,980,10/21/2023,Decathlon,Sports
300072,Kritika,Das,F,2/10/1999,1550.4,4/28/2023,Croma,Electronics
300073,Abhishek,Menon,M,1/18/1993,890.5,8/12/2023,Puma,Sports
300074,Rhea,Patel,F,3/22/2001,2480,11/3/2023,MakeMyTrip,Travel
300075,Kiran,Sharma,M,6/25/1995,330.99,3/1/2023,Dominos,Food
300076,Sindhu,Varma,F,7/13/1997,1780,7/19/2023,Flipkart,Fashion
300077,Gaurav,Bhatt,M,5/9/1992,670.4,6/17/2023,Zara,Fashion
300078,Malini,Reddy,F,9/21/1996,950,5/28/2023,Nykaa,Cosmetic
300079,Sharath,Pillai,M,1/29/1994,3500,9/9/2023,Airbnb,Travel
300080,Lavanya,Krishna,F,5/16/1999,299.99,10/14/2023,Starbucks,Restaurant
300081,Yogesh,Singh,M,3/12/1993,1180.6,8/10/2023,HM,Fashion
300082,Amala,Nair,F,12/4/1997,450.3,2/25/2023,BigBazaar,Groceries
300083,Naveen,Kapoor,M,7/7/1996,2450,1/19/2023,Amazon,Electronics
300084,Meera,Shah,F,4/2/1998,720.75,5/20/2023,Zara,Fashion
300085,Sarath,Menon,M,9/18/1992,399,6/29/2023,Dominos,Food
300086,Deepti,Patil,F,11/11/1996,1880.9,7/23/2023,Tanishq,Jewellery
300087,Sanjay,Rao,M,2/14/1994,640,4/5/2023,HM,Fashion
300088,Krupa,Sharma,F,9/27/1999,580.2,3/22/2023,KFC,Food
300089,Rohin,Varma,M,1/5/1993,960,6/11/2023,Puma,Sports
300090,Meenakshi,Das,F,10/15/1997,2350,12/3/2023,MakeMyTrip,Travel
300091,Adarsh,Shekar,M,3/3/1995,325.99,2/7/2023,BigBazaar,Groceries
300092,Bhavya,Pai,F,8/29/1998,1040.5,9/15/2023,Nykaa,Cosmetic
300093,Rakesh,Menon,M,6/17/1994,870.7,5/6/2023,Zara,Fashion
300094,Kavitha,Rao,F,1/25/1996,1980.99,7/12/2023,Apple Store,Electronics
300095,Pranav,Krishnan,M,11/23/1993,360.4,4/10/2023,Swiggy,Food
300096,Sahana,Joshi,F,10/28/1999,1320,8/25/2023,HM,Fashion
300097,Abhay,Patel,M,2/5/1995,760,6/16/2023,Decathlon,Sports
300098,Divisha,Kapoor,F,3/30/1998,2420.8,5/3/2023,Airbnb,Travel
300099,Joel,Mathew,M,9/13/1994,330.3,2/14/2023,Dominos,Food
300100,Jessica,Thomas,F,12/8/1997,1890.5,9/18/2023,Zara,Fashion
